,country,item,dispo_alimentaire
146,Soudan,91,1.29
112,Népal,90,0.0
148,Sri Lanka,90,0.35
70,Indonésie,89,0.0
84,Lesotho,89,2.0
114,Ouganda,89,0.17
133,République démocratique du Congo,89,0.0
14,Bahreïn,89,1.02
142,Seychelles,88,0.0
56,Gabon,88,5.42
24,Bulgarie,77,3.64
161,Turkménistan,77,0.41
53,Finlande,77,5.91
85,Lettonie,77,0.13
2,Albanie,77,0.0
115,Ouzbékistan,77,0.9
43,Croatie,76,47.29
155,Tchéquie,75,33.2
19,Bhoutan,75,0.07
17,Belgique,73,0.5
