Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","37.22","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","71.91","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","78.96","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2260","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2260","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","35.13","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","33.43","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","43.13","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","43.2","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","1709","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","1693","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","31.45","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","30.66","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","43.2","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","41.08","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2782","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2765","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","51.31","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","51.38","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","70.15","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","68.31","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2258","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2306","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","40.15","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","43.06","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","47.63","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","57.68","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2243","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2272","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","52.71","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","52.2","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","41.41","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","44.33","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2342","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2385","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","36.36","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","40.23","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","82.17","E","Valeur estimée"
