Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","036","Australie","511","Population totale","S2501","Population","2018","2018","1000 No","24979.23","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","036","Australie","511","Population totale","S2501","Population","2019","2019","1000 No","25357.17","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","554","Nouvelle-Zélande","511","Population totale","S2501","Population","2018","2018","1000 No","4838.53","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","554","Nouvelle-Zélande","511","Population totale","S2501","Population","2019","2019","1000 No","4959.03","X","Ciffre de sources internationales"
