Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","296","Kiribati","511","Population totale","S2501","Population","2018","2018","1000 No","122.26","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","296","Kiribati","511","Population totale","S2501","Population","2019","2019","1000 No","124.24","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","583","Micronésie (États fédérés de)","511","Population totale","S2501","Population","2019","2019","1000 No","111.38","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","520","Nauru","511","Population totale","S2501","Population","2019","2019","1000 No","12.13","X","Ciffre de sources internationales"
