Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","258","Polynésie française","511","Population totale","S2501","Population","2018","2018","1000 No","297.61","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","258","Polynésie française","511","Population totale","S2501","Population","2019","2019","1000 No","299.72","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","882","Samoa","511","Population totale","S2501","Population","2018","2018","1000 No","209.7","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","882","Samoa","511","Population totale","S2501","Population","2019","2019","1000 No","211.91","X","Ciffre de sources internationales"
