Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","124","Canada","511","Population totale","S2501","Population","2018","2018","1000 No","37035.25","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","124","Canada","511","Population totale","S2501","Population","2019","2019","1000 No","37522.58","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","840","États-Unis d'Amérique","511","Population totale","S2501","Population","2018","2018","1000 No","332140.04","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","840","États-Unis d'Amérique","511","Population totale","S2501","Population","2019","2019","1000 No","334319.67","X","Ciffre de sources internationales"
