,Pays,Disponibilité alimentaire kcal/hab/jour,PIB/habitant 2019
26,Burundi,1779.96,270.137277342414
129,République centrafricaine,1853.54,381.414046366167
92,Madagascar,1994.5,478.926961296417
108,Niger,2595.68,520.919400175727
94,Malawi,2597.25,573.400113656026
0,Afghanistan,2228.38,584.386515325947
104,Mozambique,2082.28,600.403365932758
63,Guinée-Bissau,2180.57,633.72574593523
143,Sierra Leone,2295.9700000000003,634.985615716206
88,Libéria,2130.41,644.162065213927
